name,motherName,birthDate,cpf,cns,city,state,neighborhood,street,number,cep,complement
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
teste,testeMother,22-12-1998,45923669803,12345,sao paulo,SP,parque Bristol,Rua X,341,04193055,casa
